Epoca 804 | RMS 0.84604
Epoca 805 | RMS 0.84574
Epoca 806 | RMS 0.84545
Epoca 807 | RMS 0.84516
Epoca 808 | RMS 0.84487
Epoca 809 | RMS 0.84457
Epoca 810 | RMS 0.84428
Epoca 811 | RMS 0.84399
Epoca 812 | RMS 0.84370
Epoca 813 | RMS 0.84341
Epoca 814 | RMS 0.84312
Epoca 815 | RMS 0.84283
Epoca 816 | RMS 0.84254
Epoca 817 | RMS 0.84225
Epoca 818 | RMS 0.84196
Epoca 819 | RMS 0.84168
Epoca 820 | RMS 0.84139
Epoca 821 | RMS 0.84110
Epoca 822 | RMS 0.84082
Epoca 823 | RMS 0.84053
